Region,Unnamed: 6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
K02000001,40.28,,,,8.93
E92000001,40.47,,,,8.95
E12000001,39.06,,,,10.77
E06000047,37.76,,,,10.84
E06000005,38.68,,,,9.76
E06000001,38.48,,,,10.14
E06000002,38.06,,,,12.17
E06000048,39.88,,,,9.34
E06000003,41.77,,,,8.55
E06000004,37.54,,,,9.16
E11000004,39.58,,,,11.65
E08000020,40.45,,,,11.4
E08000021,44.72,,,,10.73
E08000022,43.07,,,,10.47
E08000023,36.68,,,,13.7
E08000024,32.28,,,,12.61
E12000002,39.1,,,,10.17
E06000008,33.23,,,,10.4
E06000009,37.04,,,,11.29
E06000050,39.01,,,,10.89
E06000006,38.4,,,,11.77
E06000007,38.93,,,,9.31
E10000006,36.69,,,,7.98
E11000001,40.64,,,,10.29
E08000001,38.31,,,,11.84
E08000002,41.61,,,,8.35
E08000003,40.54,,,,10.2
E08000004,39.09,,,,11.99
E08000005,38.48,,,,11.61
E08000006,40.68,,,,9.33
E08000007,43.55,,,,8.05
E08000008,39.72,,,,11.45
E08000009,39.6,,,,9.27
E08000010,43.56,,,,10.74
E10000017,39.12,,,,8.75
E11000002,35.99,,,,13.06
E08000011,35.6,,,,13.31
E08000012,35.19,,,,14.64
E08000014,37.99,,,,11.38
E08000013,37.08,,,,10.35
E08000015,35.05,,,,13.52
E12000003,38.56,,,,10.21
E06000011,38.77,,,,9.89
E06000010,34.3,,,,13.89
E06000012,37.76,,,,15.45
E06000013,39.46,,,,8.52
E06000014,39.86,,,,9.86
E10000023,40.82,,,,7.78
E11000003,38.18,,,,10.72
E08000016,35.66,,,,12.21
E08000017,34.48,,,,11.53
E08000018,40.26,,,,12.05
E08000019,40.25,,,,9.08
E11000006,38.5,,,,9.98
E08000032,39.59,,,,9.4
E08000033,39.14,,,,10.46
E08000034,37.92,,,,8.75
E08000035,38.77,,,,11.2
E08000036,36.61,,,,9.33
E12000004,38.62,,,,8.66
E06000015,37.57,,,,8.6
E06000016,32.4,,,,10.82
E06000018,34.92,,,,11.65
E10000007,39.56,,,,8.84
E10000018,40.3,,,,7.11
E10000019,43.53,,,,8.87
E10000021,39.81,,,,7.91
E10000024,34.71,,,,8.29
E12000005,41.72,,,,8.61
E06000019,39.24,,,,8.52
E06000051,39.45,,,,6.04
E06000021,41.21,,,,10.29
E06000020,35.73,,,,10.12
E10000028,39.53,,,,9.9
E10000031,50.62,,,,6.85
E11000005,41.23,,,,8.75
E08000025,44.07,,,,7.34
E08000026,46.66,,,,7.48
E08000027,39.16,,,,8.83
E08000028,31.69,,,,13.23
E08000029,44.21,,,,6.86
E08000030,37.37,,,,9.8
E08000031,38.23,,,,11.15
E10000034,42.74,,,,7.98
E12000006,41.69,,,,8.53
E06000056,39.52,,,,7.28
E06000032,39.85,,,,8.76
E06000031,38.26,,,,8.21
E06000033,41.76,,,,9.32
E06000034,35.82,,,,10.68
E10000003,43.93,,,,9.08
E10000012,42.07,,,,7.57
E10000015,44.26,,,,9.45
E10000020,39.88,,,,8.09
E10000029,39.7,,,,9.17
E07000205,34.14,,,,12.02
E12000007,42.2,,,,8.32
E13000001,42.66,,,,7.57
E09000007,42.41,,,,8.33
E09000012,43.41,,,,10.1
E09000013,38.83,,,,9.5
E09000014,42.72,,,,8.27
E09000020,44.09,,,,8.25
E09000023,39.07,,,,8.97
E09000028,42.2,,,,8.67
E09000030,41.31,,,,6.34
E13000002,41.9,,,,8.82
E09000002,34.75,,,,11.27
E09000003,47.48,,,,8.53
E09000004,37.1,,,,8.74
E09000005,45.82,,,,6.79
E09000006,38.75,,,,7.64
E09000008,36.95,,,,10.88
E09000011,35.8,,,,12.61
E09000016,40.03,,,,9.9
E09000017,40.6,,,,11.47
E09000018,36.05,,,,9.48
E09000021,45.34,,,,7.08
E09000024,40.74,,,,8.89
E09000026,36.9,,,,8.86
E09000027,47.97,,,,8.2
E09000031,37.88,,,,10.29
E12000008,40.88,,,,7.97
E06000036,44.84,,,,8.23
E06000043,42.97,,,,9.35
E06000046,37.35,,,,8.06
E06000035,36.29,,,,10.84
E06000042,38.68,,,,9.55
E06000044,42.99,,,,6.81
E06000038,46.08,,,,5.25
E06000039,35.63,,,,12.07
E06000045,40.39,,,,6.77
E06000037,44.34,,,,7.92
E06000040,43.0,,,,7.71
E06000041,47.16,,,,7.66
E10000002,44.53,,,,7.7
E07000004,43.71,,,,8.01
E07000007,45.71,,,,9.85
E10000011,37.53,,,,9.71
E10000014,42.35,,,,6.99
E10000016,35.03,,,,10.05
E10000025,46.13,,,,5.48
E10000030,42.4,,,,7.0
E10000032,41.5,,,,6.87
E12000009,40.44,,,,8.79
E06000022,46.76,,,,7.42
E06000028,42.38,,,,9.99
E06000023,38.61,,,,10.78
E06000052,39.12,,,,10.41
E06000024,41.13,,,,8.44
E06000026,35.55,,,,12.59
E06000029,43.88,,,,8.46
E06000025,44.13,,,,8.68
E06000030,39.69,,,,9.27
E06000027,40.94,,,,10.51
E06000054,40.97,,,,8.33
E10000008,40.19,,,,6.28
E10000009,38.67,,,,7.46
E10000013,39.67,,,,9.31
E10000027,42.05,,,,7.83
W92000004,39.45,,,,9.56
W06000001,34.88,,,,7.91
W06000002,44.36,,,,7.82
W06000003,42.58,,,,7.93
W06000004,40.35,,,,8.71
W06000005,42.37,,,,8.75
W06000006,35.74,,,,11.55
W06000023,40.93,,,,9.14
W06000008,41.09,,,,5.98
W06000009,40.46,,,,8.71
W06000010,39.39,,,,10.17
W06000011,43.42,,,,8.54
W06000012,35.89,,,,12.43
W06000013,37.06,,,,10.56
W06000014,36.25,,,,12.0
W06000015,42.08,,,,7.97
W06000016,37.68,,,,8.6
W06000024,31.63,,,,12.97
W06000018,38.42,,,,9.17
W06000019,33.82,,,,14.28
W06000020,37.25,,,,10.65
W06000021,40.88,,,,8.44
W06000022,37.12,,,,13.5
S92000003,39.75,,,,9.16
S12000033,42.41,,,,7.62
S12000041,38.35,,,,9.18
S12000035,40.21,,,,8.64
S12000005,38.59,,,,9.71
S12000006,40.33,,,,7.05
S12000042,40.84,,,,12.09
S12000008,37.62,,,,13.07
S12000045,40.96,,,,8.28
S12000010,39.01,,,,9.45
S12000011,42.83,,,,7.61
S12000036,45.74,,,,7.01
S12000014,49.96,,,,7.66
S12000015,35.49,,,,10.49
S12000046,37.68,,,,9.89
S12000017,38.95,,,,7.33
S12000018,35.56,,,,11.35
S12000019,45.51,,,,10.05
S12000020,39.99,,,,8.46
S12000021,36.03,,,,12.44
S12000044,35.21,,,,10.46
S12000024,42.05,,,,7.01
S12000038,35.82,,,,10.96
S12000026,37.58,,,,8.64
S12000028,32.35,,,,10.69
S12000029,36.11,,,,11.23
S12000030,42.12,,,,8.93
S12000039,39.8,,,,11.63
S12000040,45.99,,,,9.14
N92000002,37.57,,,,6.76
N09000003,41.46,,,,9.59
